mech,hidden_feats,dropout,lr,weight_decay,epochs_per_batch,buffer_size,ewc_lam,si_c,method,avg_acc,batch1_acc,batch2_acc,batch3_acc,batch4_acc,batch5_acc,batch6_acc
naive,64,0.0,0.0001,1e-05,120,2000,1000.0,2.0,random,0.13701915964423725,0.5304545454545454,0.05572165333731968,0.0410475681453768,0.06822415531591271,0.06346280447662936,0.06320423113563943
naive,128,0.5,0.001,0.0001,60,10000,500.0,2.0,random,0.24841646444593465,0.9846245059288538,0.30480603931534495,0.07705326919650811,0.0851776528292858,0.03683344305464121,0.0020038763509740154
naive,128,0.0,0.001,0.0001,60,10000,1000.0,10.0,random,0.2813115842106462,0.9923122529644269,0.4018237536437701,0.1081952610012471,0.08524601370635586,0.09828834759710335,0.0020038763509740154
naive,128,0.0,0.0001,1e-05,60,2000,500.0,5.0,random,0.20713151210575542,0.8798616600790514,0.0572165333731968,0.06828790308213077,0.06562644198725069,0.08456221198156683,0.08723432213133603
naive,64,0.0,0.0005,0.0001,60,2000,2000.0,5.0,random,0.16035329699558323,0.6422529644268775,0.14670378952089094,0.07856761090326028,0.03419752875429392,0.04216589861751152,0.01823198975066522
naive,64,0.0,0.0001,1e-05,90,5000,2000.0,5.0,random,0.2170426790193691,0.4959881422924901,0.4696913072725914,0.061393194370212005,0.04470801360381454,0.11315009874917709,0.11732531782792943
naive,256,0.5,0.0001,0.0001,120,10000,1000.0,5.0,random,0.24129787097780245,0.9797233201581028,0.054488377307721055,0.07172634954569748,0.11212892861415412,0.12973996050032915,0.0999802897408101
rehearsal,256,0.5,0.0001,0.0001,60,5000,500.0,10.0,random,0.616698604416746,0.8826877470355731,0.6785073622841767,0.6146980224478888,0.5373335839898826,0.4868663594470046,0.5000985512959495
rehearsal,256,0.5,0.0005,0.0,60,10000,2000.0,2.0,random,0.9391746073004118,0.9858695652173913,0.9728866133492787,0.9281133083912346,0.9250422982926871,0.9111257406188282,0.9120101179330509
rehearsal,64,0.0,0.0005,0.0001,120,10000,500.0,5.0,random,0.9153575092696108,0.9293873517786562,0.9576014649824351,0.9165508640655621,0.9112163109052689,0.8770572745227123,0.9003317893630302
rehearsal,128,0.5,0.0005,0.0001,120,2000,2000.0,5.0,random,0.6515546628585726,0.9773517786561264,0.718028253232678,0.583787635845359,0.500880146292277,0.5560236998025017,0.5732564633224927
rehearsal,128,0.0,0.0005,1e-05,60,2000,2000.0,10.0,random,0.4341779553221332,0.9795256916996048,0.547481127139547,0.40146089435239624,0.30010425033753185,0.23619157340355498,0.14030419500016425
rehearsal,128,0.0,0.001,1e-05,120,2000,500.0,2.0,random,0.6789471990913934,0.9964624505928854,0.5783317138799612,0.5778906110814181,0.6322868422401859,0.6421165240289665,0.6465950527249433
rehearsal,128,0.5,0.0001,1e-05,60,2000,500.0,2.0,random,0.34344229478648197,0.48980237154150197,0.48865759772778233,0.29978621058257615,0.25777177721190164,0.2530941408821593,0.27154167077297064
rehearsal,256,0.5,0.001,0.0001,120,10000,2000.0,5.0,random,0.9383258803601319,0.9978656126482214,0.9756895134165483,0.9348120434705148,0.9212653598345667,0.8954904542462147,0.9048322985447259
rehearsal,256,0.3,0.0001,0.0,60,2000,500.0,5.0,random,0.25521234840761425,0.7763833992094862,0.1907653785783691,0.1442009620523784,0.15786235537401944,0.12998683344305464,0.13207516178837753
