mech,hidden_feats,dropout,lr,weight_decay,epochs_per_batch,buffer_size,ewc_lam,si_c,num_heads,feat_drop,attn_drop,method,avg_acc,batch1_acc,batch2_acc,batch3_acc,batch4_acc,batch5_acc,batch6_acc
rehearsal,64,0.3,0.0005,0.0001,60,5000,1000.0,5.0,1,0.0,0.0,grid,0.7029797949463455,0.9198418972332015,0.6683048060393153,0.6160163905220025,0.6419086356877959,0.6504608294930876,0.7213462107026707
rehearsal,64,0.3,0.0005,0.0001,90,5000,1000.0,5.0,1,0.0,0.0,grid,0.840970600022672,0.948300395256917,0.9657672471784139,0.849189381792268,0.7815869977611812,0.7347432521395655,0.766236326007687
rehearsal,64,0.5,0.001,0.0,60,5000,1000.0,5.0,1,0.0,0.0,grid,0.8107504280397144,0.9607114624505929,0.8090103894162494,0.7496882237662569,0.7583442995573633,0.7656023699802502,0.8211458230675733
rehearsal,64,0.5,0.001,0.0,90,5000,1000.0,5.0,1,0.0,0.0,grid,0.8298558285760765,0.976304347826087,0.7697511024740264,0.8048280776768216,0.8102302052535334,0.8063034891375905,0.8117177490884006
rehearsal,64,0.5,0.001,0.0001,60,5000,1000.0,5.0,1,0.0,0.0,grid,0.7857545673919447,0.8467588932806324,0.8327416099857986,0.7563869588455372,0.7512347683420778,0.7662442396313364,0.7611609342662856
rehearsal,64,0.5,0.001,0.0001,90,5000,1000.0,5.0,1,0.0,0.0,grid,0.8269507837862307,0.9662055335968379,0.8506427984154271,0.8007482629609834,0.7680515441013108,0.7743910467412771,0.8016655169015473
ewc,64,0.3,0.001,0.0,60,5000,1000.0,5.0,1,0.0,0.0,grid,0.317404097724258,0.9427865612648222,0.7292024815008595,0.0603064314983075,0.04467383316527951,0.07977287689269257,0.04768240202358661
ewc,64,0.3,0.001,0.0,90,5000,1000.0,5.0,1,0.0,0.0,grid,0.26516911430139417,0.9726877470355731,0.40109499962628,0.07566363798325317,0.04072599251448396,0.06132323897300856,0.03951906967576624
ewc,64,0.3,0.001,0.0001,60,5000,1000.0,5.0,1,0.0,0.0,grid,0.3519993445618441,0.8987747035573123,0.6258128410195082,0.2872795296632817,0.23237571138037702,0.0652073732718894,0.0025459084786964947
ewc,64,0.3,0.001,0.0001,90,5000,1000.0,5.0,1,0.0,0.0,grid,0.22015977788611993,0.966106719367589,0.18708423649002168,0.05884553714591128,0.08516056261001828,0.021757735352205397,0.0020038763509740154
ewc,64,0.3,0.0005,0.0,60,5000,1000.0,5.0,1,0.0,0.0,grid,0.2207248864898407,0.9580434782608696,0.13995814335899545,0.025815072153928382,0.07022371097021175,0.06940421329822251,0.060904700896816794
ewc,64,0.3,0.0005,0.0,90,5000,1000.0,5.0,1,0.0,0.0,grid,0.16034519773630918,0.5647628458498024,0.0902346961656327,0.06142882593978265,0.08921094457641891,0.11481237656352863,0.04162149732268979
ewc,64,0.3,0.0005,0.0001,60,5000,1000.0,5.0,1,0.0,0.0,grid,0.2632148855403719,0.8598814229249012,0.5827602959862471,0.0449135934437912,0.04409276571018406,0.03683344305464121,0.01080779212246641
ewc,64,0.3,0.0005,0.0001,90,5000,1000.0,5.0,1,0.0,0.0,grid,0.23697664926540227,0.8305138339920949,0.17260258614246207,0.08382326741492963,0.21976312956095226,0.09010862409479921,0.025048454387175192
ewc,64,0.5,0.001,0.0,60,5000,1000.0,5.0,1,0.0,0.0,grid,0.18470400462284853,0.8687154150197628,0.05609537334628896,0.06932121859967931,0.08387879616495479,0.028209348255431206,0.0020038763509740154
ewc,64,0.5,0.001,0.0,90,5000,1000.0,5.0,1,0.0,0.0,grid,0.20921408204406525,0.9552173913043478,0.054488377307721055,0.0752538749331908,0.11192384598294396,0.053851217906517444,0.0045497848296705105
ewc,64,0.5,0.001,0.0001,60,5000,1000.0,5.0,1,0.0,0.0,grid,0.42817272738312306,0.9648221343873518,0.5056244861349877,0.3740780331373597,0.2203100165775127,0.21153719552337064,0.2926644985381558
ewc,64,0.5,0.001,0.0001,90,5000,1000.0,5.0,1,0.0,0.0,grid,0.27613236764088117,0.9520750988142292,0.4915539277972943,0.07783716372706218,0.06948883154170868,0.060829493087557605,0.0050096908774350385
si,64,0.3,0.001,0.0,60,5000,1000.0,5.0,1,0.0,0.0,grid,0.3188038800130581,0.9484782608695652,0.6071642125719411,0.07160163905220025,0.1049852169603336,0.0977123107307439,0.0828816398935646
si,64,0.3,0.001,0.0,90,5000,1000.0,5.0,1,0.0,0.0,grid,0.29715491472394423,0.903596837944664,0.5573660213767845,0.1322287546766435,0.08174251875651564,0.08174786043449637,0.026247495154561283
si,64,0.3,0.001,0.0001,60,5000,1000.0,5.0,1,0.0,0.0,grid,0.18856336084070713,0.90800395256917,0.054488377307721055,0.05195082843399252,0.057559858492984464,0.057373271889400924,0.0020038763509740154
