mech,hidden_feats,dropout,lr,weight_decay,epochs_per_batch,buffer_size,ewc_lam,si_c,aggregator,method,avg_acc,batch1_acc,batch2_acc,batch3_acc,batch4_acc,batch5_acc,batch6_acc
gen_replay,256,0.3,0.001,0.0001,120,10000,1000.0,10.0,gcn,random,0.9358238983756451,0.9950395256916996,0.9718775693250616,0.9278638874042402,0.9195563379078153,0.9057274522712311,0.8948786176538222
gen_replay,256,0.0,0.0005,0.0001,90,10000,1000.0,5.0,pool,random,0.9364533676572403,0.9967193675889328,0.9757081994169968,0.9249242829146624,0.9066532223608429,0.897432521395655,0.9172826122663513
gen_replay,64,0.3,0.0005,1e-05,90,2000,500.0,2.0,mean,random,0.3911572902023989,0.8033201581027668,0.5004110920098662,0.33146267593087475,0.20094679814742022,0.19433838051349572,0.3164646365099701
naive,64,0.3,0.0005,0.0001,120,10000,2000.0,10.0,gcn,bayes,0.18728448535210643,0.9129051383399209,0.05512370132296883,0.03531088544450383,0.05908088800779314,0.05928242264647795,0.0020038763509740154
naive,256,0.3,0.0001,0.0,60,5000,1000.0,5.0,gcn,bayes,0.2647074862814995,0.7840909090909091,0.5048209881157038,0.07701763762693746,0.09334677763915711,0.1054641211323239,0.023504484083965705
naive,128,0.0,0.0005,0.0,60,5000,500.0,10.0,mean,bayes,0.23760697510859466,0.8431225296442688,0.17250915614021975,0.15581685373240692,0.08444277340078273,0.09632982225148123,0.0734207154824086
naive,128,0.0,0.0005,0.0,60,2000,1000.0,5.0,mean,bayes,0.23951232336708606,0.9612845849802372,0.22251289334030944,0.06386958845537145,0.08524601370635586,0.07804476629361422,0.02611609342662856
naive,128,0.3,0.001,1e-05,60,5000,1000.0,5.0,gcn,bayes,0.21253520787758995,0.9741304347826087,0.13452051722849243,0.06436843042936041,0.07717943021208962,0.023008558262014485,0.0020038763509740154
naive,64,0.5,0.0001,1e-05,60,5000,1000.0,5.0,gcn,bayes,0.28849164898353974,0.5559881422924902,0.4887136557291277,0.3185106003919473,0.1223317895168595,0.12123107307439104,0.12417463289642258
naive,256,0.5,0.0001,1e-05,120,5000,1000.0,5.0,lstm,bayes,0.21485650462407727,0.980197628458498,0.054525749308617984,0.04657046142882594,0.08341736024473194,0.0771724818959842,0.047255346407805265
naive,64,0.3,0.0001,0.0,120,10000,1000.0,5.0,pool,bayes,0.2644845643944944,0.5556521739130434,0.5884221541221317,0.2609834313201497,0.055885017004768174,0.06538841342988809,0.060576196576984986
naive,64,0.5,0.0001,0.0001,120,5000,1000.0,10.0,mean,bayes,0.22864061235965752,0.5172727272727272,0.4629830331115928,0.1764297167290219,0.0728726949566763,0.07070441079657669,0.07158109129135048
naive,64,0.3,0.0005,1e-05,120,5000,2000.0,5.0,mean,bayes,0.20733717072865476,0.9721541501976284,0.054488377307721055,0.05342953857117406,0.07410319074393724,0.08288347597103357,0.006964291580434282
naive,256,0.3,0.0001,0.0,120,5000,2000.0,5.0,lstm,bayes,0.23469593015149845,0.9754743083003953,0.054488377307721055,0.07703545341172278,0.10413070599695794,0.12786372613561553,0.0691830097565783
naive,64,0.3,0.0001,1e-05,120,10000,2000.0,10.0,gcn,bayes,0.22933419412655018,0.6533399209486166,0.3109724194633381,0.11036878674505612,0.12786902055953378,0.10072416063199473,0.0727308564107618
